Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method,Country,City,State,isInTop100
Rappi,https://www.crunchbase.com/organization/rappi,"Consumer Goods, E-Commerce, Food Delivery","Bogotá, Distrito Especial, Colombia",Rappi is a consumer tech company that specializes in providing online delivery services.,"7,739",Latin America,$10M to $50M,Active,01/01/2015,year,,,,,For Profit,http://www.rappi.com,https://twitter.com/rappibrasil,https://www.facebook.com/RappiBrasil/,https://www.linkedin.com/company/rappi/,servicoaocliente@rappi.com,,93,Unicorn,"Rappi is a consumer tech company that specializes in providing online delivery services. It connects consumers who want to purchase prepared foods, groceries, clothes, and virtually anything with independent contractors who can fulfill those needs. The company was founded in 2015 with its main offices in Bogota, Colombia.",,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Food and Beverage, Transportation",3,"Felipe Villamarin, Sebastian Mejia, Simon Borrero",5001-10000,9,Late Stage Venture,24/09/2020,300000000,USD,300000000,Series F,300000000,USD,300000000,Series F,1692005447,USD,1692005447,1692005447,USD,1692005447,"SoftBank, Sequoia Capital, FJ Labs, Andreessen Horowitz, FundersClub",8,38,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,2,"8,134",66,1,,39,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
RobinFood,https://www.crunchbase.com/organization/muy,"Food and Beverage, Food Delivery, Restaurants, Retail Technology","Bogotá, Distrito Especial, Colombia",RobinFood is an operator of a chain of restaurants used to provide access to quality and affordable homemade food.,"8,657",Latin America,Less than $1M,Active,01/03/2018,month,,,,,For Profit,http://robinfood.com,,,https://www.linkedin.com/company/robinfoodlatam,jose@muy.com.co,,7,,"RobinFood is an operator of a chain of restaurants used to provide access to quality and affordable homemade food. Its restaurants leverage its own technology through which customizable orders could be placed by choosing various dishes based on their features and nutrients through a touch screen that enables customers to receive a meal in less than five minutes after ordering. RobinFood was founded in 2018 and is headquartered in Bogotá, Colombia.",,,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage, Hardware, Software, Transportation",2,"Jose Guillermo Calderon, Miguel Mc Allister",501-1000,4,Early Stage Venture,02/10/2020,16000000,USD,16000000,Debt Financing,15000000,USD,15000000,Series B,20000000,USD,20000000,36000000,USD,36000000,"ALLVP, Seaya Ventures, MGM Innova Group",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"9,099",13,,,,0,0,,Advertising; business,,,,,Colombia,Bogotá,Distrito Especial,0
Zinobe,https://www.crunchbase.com/organization/zinobe,"Big Data, Credit, Financial Services, FinTech, Insurance, Payments","Bogotá, Distrito Especial, Colombia",Digital financial services company in the Colombian market. Developed a data centric credit model to help target underserved markets.,"9,826",Latin America,$1M to $10M,Active,01/07/2011,day,,,,,For Profit,http://www.zinobe.com,,,https://www.linkedin.com/company/2512942/,alianzas@zinobe.com,(+571) 3299833,1,,"Zinobe has operated in Colombia since 2012 and develops online financial products for the consumer and small business sectors. The company is focused on using technology to provide the highest level of customer experience and has developed a data centric credit model to help target underserved markets in Colombia. Zinobe is backed by firms such as QED Investors, a U.S. based venture capital firm specializing in disruptive financial services companies in the U.S., U.K. and Latin America. For more information, please visit www.zinobe.com, www.lineru.com.",,,,,,,,,,,,,,"Data and Analytics, Financial Services, Lending and Investments, Payments",2,"Martin Schrimpff, Tarek El Sherif",101-250,3,Early Stage Venture,01/04/2020,30000000,USD,30000000,Debt Financing,,,,Series A,,,,30000000,USD,30000000,"QED Investors, Ali Saadat Meli, Martin Schrimpff",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"10,301",6,,,18,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
Tul,https://www.crunchbase.com/organization/tul-302e,"Building Material, Construction, E-Commerce, Hardware, Mobile Apps","Bogotá, Distrito Especial, Colombia",Tül offers an application where users can buy hardware and construction products directly from their phone.,"10,269",Latin America,,Active,22/01/2020,day,,,,,For Profit,https://tul.com.co/,https://twitter.com/soytulcol,https://www.facebook.com/soytulcol,https://www.linkedin.com/company/soytul/,info@tul.com.co,8088165,1,,"Tül offers an application where users can buy hardware and construction products directly from their phone, at the time that best suits them and their business. It is their right hand for the purchase of all hardware and construction products. Users will find the best prices on their purchases, they can buy what they want when they want it and they will receive what it is when it is.",,,,,,,,,,,,,,"Apps, Commerce and Shopping, Hardware, Mobile, Real Estate, Software",3,"Enrique Villamarin Lafaurie, Juan Carlos Narváez, Nicolas Villegas",101-250,1,Seed,27/10/2020,4000000,USD,4000000,Seed,4000000,USD,4000000,Seed,4000000,USD,4000000,4000000,USD,4000000,"Vine Ventures, Jose Llorens",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"10,758",32,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Omni Latam,https://www.crunchbase.com/organization/omni-latam,"Commercial Lending, Finance, Financial Services, FinTech, Risk Management","Bogotá, Distrito Especial, Colombia",Omni Latam is a financial services platform (fintech) in Latin America that offers digital financial solutions.,"10,777",Latin America,$1M to $10M,Active,01/01/2018,year,16/06/2020,day,,,For Profit,https://omnilatam.com/co/,https://twitter.com/omnilatam,https://es-la.facebook.com/omnilatam/,https://www.linkedin.com/company/omnilatam,ceo@portalfinance.co,+57 4 444 21-40,10,,"Omni Latam is a financial services platform (fintech) in Latin America that offers digital financial solutions for companies, facilitating access to financing wherever you are, without moving and with approval in less than an hour.",,,,,,,,,,,,,,"Financial Services, Lending and Investments, Professional Services",3,"Andrés Abumohor, Charlie A Cliff, Diego Caicedo",101-250,4,M&A,03/09/2018,200000000,USD,200000000,Debt Financing,1600000,USD,1600000,Seed,1650000,USD,1650000,201650000,USD,201650000,"Magma Partners, BTG Pactual",2,2,,Was Acquired,Omni Latam acquired by Greensill Capital,https://www.crunchbase.com/acquisition/greensill-capital-acquires-omni-latam--8fa21b48,Greensill Capital,https://www.crunchbase.com/organization/greensill-capital,16/06/2020,day,,,,Acquisition,,Private,,,,,,,,,,,,,,,"11,276",17,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
LAIKA,https://www.crunchbase.com/organization/laika,"Consumer Goods, E-Commerce, Pet, Retail","Bogotá, Distrito Especial, Colombia",LAIKA is an e-commerce platform for pets that offers a variety of products and services.,"11,647",Latin America,,Active,30/08/2017,day,,,,,For Profit,http://www.laika.com.co,,https://web.facebook.com/LaikaUniverso/,https://www.linkedin.com/company/laika-app/about/,servicioalcliente@laika.com.co,3009108496,2,,"LAIKA is like a dog with two tails right now. Its platform for pet products and services has been growing in recent months and it’s drawn the necessary investment to keep up its momentum. LAIKA built a digital platform where users don’t have to go anywhere else to meet said needs. With two main sections; products and services. In the products section, we have more than 4,000 references (among which you can find most of the brands of food, snacks, medicines, accessories and others). In the services section, we have more than 17 services, all the healthcare, beauty and entertainment services. All of the above delivered straight to your home and with the flexibility of choosing the date and time on and at which you wish to receive the order, including same-day deliveries for the main cities and accepting all payment methods, both online and cash on delivery.",,,,,,,,,,,,,,"Commerce and Shopping, Community and Lifestyle, Consumer Goods",2,"Camilo Sanchez, Manuela Sanchez Villamarin",Nov-50,4,Seed,09/07/2020,7000000,USD,7000000,Seed,7000000,USD,7000000,Seed,7000000,USD,7000000,7000000,USD,7000000,"Soma Capital, Y Combinator, JAM Fund, Pioneer Fund, Palm Drive Capital",1,10,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"12,179",53,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Finsocial,https://www.crunchbase.com/organization/finsocial,"Banking, Financial Services","Barranquilla, Atlantico, Colombia",Finsocial provides credit solutions including payroll loan for teachers and pensioners.,"12,053",Latin America,,Active,01/01/2012,year,,,,,For Profit,http://www.finsocial.co/,https://twitter.com/finsocial2,https://www.facebook.com/finsocialsas/,https://www.linkedin.com/company/finsocial/,servicioalcliente@finsocial.co,01 8000 180757,3,,Finsocial provides credit solutions including payroll loan for teachers and pensioners.,,,,,,,,,,,,,,"Financial Services, Lending and Investments",,,251-500,2,,18/08/2020,20000000,USD,20000000,Debt Financing,,,,,,,,145000000,USD,145000000,"Morgan Stanley, Symbiotics Group, Bancóldex",3,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"12,604",32,,,,,,,,,,,,Colombia,Barranquilla,Atlantico,0
Leal,https://www.crunchbase.com/organization/leal,"Analytics, Information Services, Information Technology, Internet","Bogotá, Distrito Especial, Colombia","Leal is a digital platform for retailers in Latin America to identify, engage and reward their most valuable customers.","12,766",Latin America,$1M to $10M,Active,15/06/2016,day,,,,,For Profit,http://www.leal.co,https://www.twitter.com/puntosleal,https://www.facebook.com/puntosleal,https://www.linkedin.com/company/10494210/,info@leal.com.co,(57)3503189980,14,,"Leal is the largest and fastest growing loyalty network in Colombia with over 400 participating brands. For affiliated merchants, Leal provides the technology they need to compete in a digital world. Their digital platform combines business analytics, a powerful CRM, and Point of Sale (POS) system integration to enable merchants to grow their business and communicate effectively with their customers. For registered users, Leal brings together multiple loyalty programs in a single app/card that allows them to earn rewards for their purchases at their favorite merchants.",,,,,,,,,,,,,,"Data and Analytics, Information Technology, Internet Services",2,"Camilo Martinez, Florence Frech",51-100,6,Early Stage Venture,19/11/2020,5500000,USD,5500000,Series B,5500000,USD,5500000,Series B,10000000,USD,10000000,12000000,USD,12000000,FCP Emprendimiento e Innovación SP,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"13,344",14,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
Superfuds,https://www.crunchbase.com/organization/superfüds,"B2B, B2C, Consumer Goods","Bogotá, Distrito Especial, Colombia",Superfüds is solving distribution for emerging brands in Latin America while helping mom & pop stores to earn more money,"13,445",Latin America,Less than $1M,Active,06/01/2016,day,,,,,For Profit,https://superfuds.com/,,https://www.facebook.com/superfuds/,https://www.linkedin.com/company/10040406,sebastian@superfuds.com.co,5.73206E+11,7,,Superfüds is solving distribution for emerging brands in Latin America while helping mom & pop stores to earn more money,,,,,,,,,,,,,,"Consumer Goods, Other",1,Sebastian Hernandez,101-250,5,Early Stage Venture,22/12/2020,3300000,USD,3300000,Series A,3300000,USD,3300000,Series A,5290000,USD,5290000,5290000,USD,5290000,"K50 Ventures, Marstar Investments",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"14,048",29,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Cubbo,https://www.crunchbase.com/organization/cubbo,"B2B, Logistics, Real Estate","Bogotá, Distrito Especial, Colombia",Re-purposing distressed real estate assets into micro-fulfillment spaces throughout Latin America.,"13,719",Latin America,,Active,01/01/2021,day,,,,,For Profit,,,https://www.facebook.com/cubboapp,https://www.linkedin.com/company/cubbo-app,hello@cubbo.com,+57 3173657109,,,"Cubbo is a startup that focuses on repurposing distressed real estate assets (e.g., unused brick-and-mortar outlets or abandoned strip malls) and turning them into spaces suited for new industries, such as urban micro-fulfillment spaces for online retail.",,,,,,,,,,,,,,"Other, Real Estate, Transportation",1,Brian York,Nov-50,1,Seed,18/01/2021,2000000,USD,2000000,Pre-Seed,2000000,USD,2000000,Pre-Seed,2000000,USD,2000000,2000000,USD,2000000,"Graph Ventures, Brian Requarth, Florian Hagenbuch, Julio Vasconcellos, Manolo Atala",,21,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"14,332",,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
