Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method,Index,Organization,Email,Name,Industries_right,Description_right,Founded Date_right,Total Funding Amount_right,Last Funding Date_right,Last Funding Amount_right,Last Funding Amount Currency_right,NIT,NOMBRE EMPRESA,CIIU,EMPRENDEDOR,DEPARTAMENTO,CIUDAD,CORREO ELECTRONICO,TELÉFONO ,Unnamed: 16,Intersección
DONDOCTOR,https://www.crunchbase.com/organization/dondoctor,"Health Care, Software","Bogotá, Distrito Especial, Colombia",Dondoctor is an online scheduling and telemedicine for clinics and hospitals.,"112,555",Latin America,,Active,2014-01-01,year,,,,,For Profit,https://dondoctor.com/,,,https://www.linkedin.com/company/dondoctor/,facosta@dondoctor.com,3114910942,,,"dondoctor provides an online scheduling software for medical centers, clinics and hospitals",,,,,,,,,,,,,,"Health Care, Software",1.0,Felipe Acosta,11-50,1.0,Seed,2020-07-01,800000.0,USD,800000.0,Seed,800000.0,USD,800000.0,Seed,800000.0,USD,800000.0,800000.0,USD,800000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"117,806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERONORTE,https://www.crunchbase.com/organization/veronorte,Venture Capital,"Medellín, Antioquia, Colombia","Investment management firm focused in early and growth stage companies. Our corporates include Grupo SURA, Grupo Argos and Grupo Nutresa.","114,228",Latin America,,Active,2012-01-01,year,,,,,For Profit,https://www.veronorte.com,https://twitter.com/Veronorte_IM,,https://www.linkedin.com/company/veronorte/?originalSubdomain=co,info@veronorte.com,,,,"Veronorte is a Latin American investment management firm dedicated to investing in early and growth stage companies in the Americas. We add value to our portfolio companies by offering the possibility to partner with our corporate investors, by facilitating commercial relations, providing regional insights and strategic support to penetrate new markets in the Latin American region. Our current corporate investors include Grupo SURA, Grupo Argos and Grupo Nutresa. We are active investors in companies capable of generating substantial changes in healthcare, financial services, insurance, construction, mobility, infrastructure, energy, food and nutrition.",Private Equity Firm,,12.0,15.0,,1.0,1.0,,,,,,,"Financial Services, Lending and Investments",2.0,"Camilo Botero, Felipe Valencia",11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"119,594",27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUMA,https://www.crunchbase.com/organization/bluma,"Beauty, Wellness","Medellín, Antioquia, Colombia",Bluma is a technology platform that allows beauty-conscious contemporary women to save time by having their on-demand beauty needs.,"115,144",Latin America,Less than $1M,Active,2018-06-01,day,,,,,For Profit,https://www.blumaapp.com,,https://www.facebook.com/blumaapp,,info@blumaapp.com,,,,"Bluma is a technology platform that allows beauty-conscious contemporary women to save time by having their on-demand beauty needs fulfilled by a lifestyle brand in the comfort of their home. Independent service providers, qualified by Bluma and operating under the Bluma brand deliver the services following Bluma Standard Guidelines. Bluma is headquartered in Medellín, Colombia",,,,,,,,,,,,,,"Consumer Goods, Health Care",,,1-10,1.0,Seed,2018-08-01,70000.0,USD,70000.0,Angel,70000.0,USD,70000.0,Angel,70000.0,USD,70000.0,70000.0,USD,70000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"120,582",31.0,2.0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUPO NUTRESA,https://www.crunchbase.com/organization/grupo-nutresa,"Food and Beverage, Food Processing, Retail","Medellín, Antioquia, Colombia",Grupo Nutresa is processed food company in Colombia,"115,980",Latin America,,Active,1920-04-12,day,,,,,For Profit,https://www.gruponutresa.com/,,https://www.facebook.com/pg/GrupoNutresaOficial/,https://www.linkedin.com/company/grupo-nutresa-s.a./,cchacon@gruponutresa.com,,,,"Grupo Nutresa is the leading processed food company in Colombia and one of the most important players in the sector in Latin America. Founded in 1920, it currently has nearly 45.000 employees and operates through eight business units: Cold Cuts, Biscuits, Chocolates, Tresmontes Lucchetti –TMLUC-, Coffee, Retail Food, Ice Cream and Pasta. Grupo Nutresa has a differentiated business model beginning with its people:  talented, innovative, committed and responsible, who contribute to sustainable development.  Its brands -leaders, recognized and beloved- are part of the daily life of consumers and are supported in nutritious, reliable products, and its distribution network, with a differentiated offering by channels and segments that make the portfolio of products widely available throughout the strategic region.",,,1.0,1.0,,,,,,,,,,"Commerce and Shopping, Food and Beverage",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"121,481",63.0,,,14.0,1.0,52.0,Baking; Edible Doughs,Basic staples,,,,,,,,,,,,,,,,,,,,,,,,,
TREBLE.AI,https://www.crunchbase.com/organization/treble-ai,"Artificial Intelligence, Software","Bogotá, Distrito Especial, Colombia",Treble.ai is an internet based company.,"115,986",Latin America,,Active,2018-01-01,day,,,,,For Profit,https://treble.ai/,https://twitter.com/treble_ai,https://www.facebook.com/pg/Trebleai-2290884530930530/,https://www.linkedin.com/company/treble-ai,treble@treble.ai,,,,Treble.ai allows you to obtain your customer's pain points by chatting automatically with your users.Segment your users based on their responses. With treble.ai discover your customers' pain points so you can improve your business effectively,,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",1.0,Felipe Otalora,1-10,2.0,Seed,2019-08-22,,,,Seed,,,,Seed,,,,,,,"FundersClub, Y Combinator, Kli Capital, MAYA Capital",1.0,4.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"121,487",36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSITAS DE ESPAÑA,https://www.crunchbase.com/organization/cositas-de-españa,E-Commerce,"Madrid, Distrito Especial, Colombia",Cositas de España is an e-commerce dedicated to sell clothes from European firms in the Latin American market.,"117,499",Latin America,,Active,2015-11-04,day,,,,,For Profit,https://www.cositasdespana.com/,,https://www.facebook.com/cositasdeespana,,,,,,"Cositas de España (CdE) is an e-commerce dedicated to sell clothes from European firms in the Latin American market, where they barely have presence. The CEO and founder of the company, which has Peruvian nationality, realized that all her relatives observed her clothes everytime she came back to Peru from Spain, asking her to bring garments to them when she came back. ​ Dicovering the opportunity, she carried out a pilot test, in order to see whether this was a real need of South American women. The test’s sales amounted to 16,000€ in just 6 months, what confirmed that, effectively, this was a real need to satisfy. The spectacular results of this test were what finally made her found CdE.",,,,,,,,,,,,,,Commerce and Shopping,,,11-50,1.0,,2017-05-17,108299.0,EUR,120807.0,Equity Crowdfunding,108299.0,EUR,120807.0,Equity Crowdfunding,108299.0,EUR,120807.0,108299.0,EUR,120807.0,Fellow Funders,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"123,121",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNCHER,https://www.crunchbase.com/organization/muncher,"Food Delivery, Real Estate","Bogotá, Distrito Especial, Colombia","MUNCHER is a Latam food-tech fast growing start-up, providing kitchen spaces & creates virtual restaurant brands of its own.","117,657",Latin America,,Active,2019-01-01,day,,,,,For Profit,http://muncher.com.co,,,,soy@muncher.com.co,+573196707410,,,,,,,,,,,,,,,,,"Food and Beverage, Real Estate, Transportation",3.0,"Andrés Villarraga, Juan David Jaramillo, Nimrod Molad",11-50,2.0,Seed,2019-07-01,,,,Seed,,,,Seed,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"123,287",28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENTE LABS,https://www.crunchbase.com/organization/mente-labs,"Analytics, Artificial Intelligence, Big Data, Business Intelligence, Machine Learning","Bogotá, Distrito Especial, Colombia",Company specializing in human behavior analysis using algorithms and artificial intelligence to profile people.,"118,191",Latin America,,Active,2017-01-01,year,,,,,For Profit,https://www.mentelabs.com/,http://twitter.com/MenteProfiles,https://www.facebook.com/MenteProfiles/,https://www.linkedin.com/company/menteprofiles/,mauricio@coleoptera.co,+573105603472,,,"MENTe is a system capable of taking all public information available from a person, including social network publications and building a behavior profile using artificial intelligence algorithms, data analysis and Big Data. MENTe interpreted every word, every photo, every video of Like you and published, understanding what they think, what they feel and what people do. Using MENTe you can identify the trends of your employees, the tastes of your students; What your children comment and the key issues to interact with your customers.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",1.0,Mauricio Arevalo Buitrago,1-10,1.0,Seed,2017-10-01,170000.0,USD,170000.0,Seed,170000.0,USD,170000.0,Seed,170000.0,USD,170000.0,170000.0,USD,170000.0,Wavecomm Corp,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"123,858",23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUPO BANCOLOMBIA,https://www.crunchbase.com/organization/grupo-bancolombia,"Banking, Education, Finance, Financial Services","Medellín, Antioquia, Colombia","Bancolombia SA is a Colombia-based financial institution primarily engaged, together with its subsidiaries,","119,715",Latin America,,Active,1945-01-01,year,1995-08-04,day,,,For Profit,http://grupobancolombia.com,https://www.twitter.com/bancolombia,https://www.facebook.com/bancolombia,https://www.linkedin.com/company/22690,,+57 4 4041837,8,,"Bancolombia SA is a Colombia-based financial institution primarily engaged, together with its subsidiaries, in the banking sector. The Company provides a range of financial products and services to individual and corporate customers, which include stock brokerage, investment banking, leasing, factoring, consumer finance, fiduciary and trust services, asset management, and insurance, among others. The Company is a parent of Grupo Bancolombia, a group present in Central America, with El Salvador's bank, Banagricola SA, off-shore banking subsidiaries in Panama, Cayman and Puerto Rico, as well as an agency in Miami. In April 2014, the Company acquired assets, liabilities and contracts of Factoring Bancolombia; as a result the Company holds 99.99% stake in Factoring Bancolombia.",,,2.0,2.0,1.0,,,,,,,,,"Education, Financial Services, Lending and Investments",,,10001+,,IPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public,1995-08-04,,,,,,,,,CIB,https://www.crunchbase.com/ipo/grupo-bancolombia-ipo--9ea81b75,NYSE - New York Stock Exchange,,1.0,"125,494",74.0,16.0,"1,111,579",23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENNTA.COM,https://www.crunchbase.com/organization/vennta-com,"Advertising, Commercial Real Estate, Real Estate, Real Estate Investment","Bogotá, Distrito Especial, Colombia","We are accelerating the real estate sales of new and used properties in Bogotá, Medellín and Cartagena.","119,972",Latin America,,Active,2019-10-01,day,,,,,For Profit,https://www.vennta.com,,https://www.facebook.com/venntacolombia/,https://www.linkedin.com/company/vennta/,info@vennta.com,+573206542000,,,"We are accelerating the real estate sales of new and used properties in Bogotá, Colombia; using marketing and client service without bots with a concierge system.",,,,,,,,,,,,,,"Advertising, Financial Services, Real Estate, Sales and Marketing",1.0,Sebastián Morales Anaya,1-10,1.0,Seed,2019-10-04,10000.0,USD,10000.0,Pre-Seed,10000.0,USD,10000.0,Pre-Seed,10000.0,USD,10000.0,10000.0,USD,10000.0,Berry Seven,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"125,770",29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROTESIS AVANZADAS SAS,https://www.crunchbase.com/organization/tech-bionic-hand-by-protesis-avanzadas,"3D Technology, Hospital, Medical, Medical Device","Medellín, Antioquia, Colombia","Prótesis Avanzadas SAS is a company dedicated to de design, manufacture and merchandise of robotic prosthetic arm..","120,500",Latin America,$1M to $10M,Active,2015-07-15,day,,,,,For Profit,https://www.protesisavanzadas.co/,https://twitter.com/protesisavanza,https://www.facebook.com/protesisavanzadassas/,https://www.linkedin.com/company/10382389/,contacto@protesisad.com,+5744799029,,,"Company dedicated to design, manufacture and sell of robotic prosthetic arm. We have two diferent products, one is the robotic aktio a3d, a full 3D printed prosthetic arm, with programable functions. Other is a baseic robotic full 3d printed arm with cosmetic glove, with a special similarity to human hand and arm.",,,,,,,,,,,,,,"Hardware, Health Care, Software",,,1-10,2.0,Seed,2019-08-24,230000.0,USD,230000.0,Non-equity Assistance,20000.0,USD,20000.0,Pre-Seed,20000.0,USD,20000.0,250000.0,USD,250000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"126,330",21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSS,https://www.crunchbase.com/organization/fss,"Fashion, Manufacturing, Sports","Bogotá, Distrito Especial, Colombia","FSS is a sports apparel manufacturer in Bogota, Colombia.","120,987",Latin America,,Active,1987-01-01,year,,,,,For Profit,https://fss.com.co,https://twitter.com/oficial_fss,https://es-la.facebook.com/OficialFSS/,,,,67,,,,,,,,,,,,,,,,"Clothing and Apparel, Design, Manufacturing, Sports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2019-12-21,,"126,857",33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFUT,https://www.crunchbase.com/organization/ifut,"Analytics, Apps, Big Data, Data Mining, Data Visualization, Soccer, Sports","Brasilia, Distrito Especial, Colombia",iFut analyses youth athletes' data through a soccer tournament management application.,"121,390",Latin America,,Active,2016-07-30,day,,,,,For Profit,https://ifut.com.br/,,,,resenha@ifut.com.br,+5561992581731,,,"iFut's mission is to bring players from the amateur level to the professionals. Our strategy consists in gathering youth athletes data from academies, federations and clubs through a soccer tournament management application. Analysing the gathered data, we are able to create a history of each athlete and to discover outliers.",,,,,,,,,,,,,,"Apps, Data and Analytics, Design, Information Technology, Software, Sports",3.0,"André Miguez, Hugo Monteiro, Matheus Godinho",1-10,1.0,Seed,2018-09-01,100000.0,BRL,24659.0,Pre-Seed,100000.0,BRL,24659.0,Pre-Seed,100000.0,BRL,24659.0,100000.0,BRL,24659.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"127,290",19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIVORO,https://www.crunchbase.com/organization/trivoro,"E-Commerce, Retail, Retail Technology","Bogotá, Distrito Especial, Colombia","Meat, Fruits and Vegetables, Offline and Online Retailer,","121,924",Latin America,Less than $1M,Active,2018-01-15,day,,,,,For Profit,,https://twitter.com/trivoroCO,,,rafa@trivoro.com,+573105603387,,,,,,,,,,,,,,,,,"Commerce and Shopping, Hardware, Software",2.0,"Maria Socarras Barros, Rafael Socarras",1-10,3.0,Seed,2019-06-01,200000.0,USD,200000.0,Pre-Seed,200000.0,USD,200000.0,Pre-Seed,275000.0,USD,275000.0,275000.0,USD,275000.0,Rafael Socarras,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"127,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISCREPANTE.COM,https://www.crunchbase.com/organization/discrepante,"Art, E-Commerce, Fashion, Marketplace","Bogotá, Distrito Especial, Colombia",Discrepante.com is the marketplace for a more human and sustainable economy,"122,556",Latin America,$1M to $10M,Active,2014-06-01,day,,,,,For Profit,http://discrepante.com,https://www.twitter.com/soy_discrepante,https://www.facebook.com/soydiscrepante,,tiendas@discrepante.com,,5,,Discrepante.com is the marketplace for a more human and sustainable economy. We gather hundreds of persons that create extraordinary products and tell you their stories. We aim at conscious consumers that want to know the people that make the things they buy and the social and environmental impact of their purchasing decisions.,,,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Design, Media and Entertainment",1.0,Isabel Rincón Estefan,1-10,3.0,Seed,2016-05-15,,,,Seed,,,,Seed,50000.0,USD,50000.0,50000.0,USD,50000.0,"RockaLabs, Red Entrepreneurship Bavaria, José Antonio Gomez",,3.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"128,542",42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECOPETROL,https://www.crunchbase.com/organization/ecopetrol,"Commercial, Energy, Oil and Gas","Bogotá, Distrito Especial, Colombia",Ecopetrol is Colombia's largest integrated oil & gas company.,"124,414",Latin America,,Active,1948-01-01,year,2008-09-26,day,,,For Profit,http://www.ecopetrol.com.co,https://www.twitter.com/ecopetrol_sa,https://www.facebook.com/ecopetrolcolombia,https://www.linkedin.com/company/ecopetrol,ecopetrols.a@gmail.com,+57 1 800 0113434,122,,Ecopetrol is Colombia's largest integrated oil & gas company.,,,,,,,,,,,,,,"Energy, Natural Resources, Other",,,10001+,,IPO,,,,,,,,,,,,,,,,,,,2.0,Made Acquisitions,,,,,,,,,,,,Public,2008-09-26,,,,,,,,,EC,https://www.crunchbase.com/ipo/ecopetrol-ipo--5e537a9f,NYSE - New York Stock Exchange,,,"130,544",51.0,4.0,6,9.0,50.0,5.0,"Petroleum, Gas Or Coke Industries; Technical Gases Containing Carbon Monoxide; Fuels; Lubricants; Peat",Industrial oils and greases; lubricants; fuels,,,,,,,,,,,,,,,,,,,,,,,,,
FLECK - THE BIGGER PICTURE,https://www.crunchbase.com/organization/fleck-the-bigger-picture,"Communities, E-Commerce, Internet, iOS, Music, News, Photo Sharing, Web Design","Medellín, Antioquia, Colombia","Daily, curated inspiration from a global community of artists, designers and makers. Free for iOS at getfleck.com/download","125,366",Latin America,Less than $1M,Active,2012-01-01,year,,,,,For Profit,http://getfleck.com,http://twitter.com/getfleck,http://www.facebook.com/getfleck,,hello@getfleck.com,,,,"Daily, curated inspiration from a global community of artists, designers and makers. Free for iOS at getfleck.com/download",,,,,,,,,,,,,,"Commerce and Shopping, Community and Lifestyle, Content and Publishing, Design, Internet Services, Media and Entertainment, Mobile, Music and Audio, Platforms, Software",2.0,"Michael Wilson, Rory Reiff",1-10,2.0,Seed,2014-06-01,40000.0,USD,40000.0,Seed,40000.0,USD,40000.0,Seed,60000.0,USD,60000.0,60000.0,USD,60000.0,"Start-Up Chile, PIE",,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"131,586",11.0,2.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI PLAZA,https://www.crunchbase.com/organization/mi-plaza,"Delivery, E-Commerce, Food Delivery, Grocery, Internet","Valledupar, Cesar, Colombia",Online Hard Disccount Supermarket,"125,927",Latin America,,Active,2017-10-01,month,,,,,For Profit,https://miplaza.co/,,https://www.facebook.com/miplazacolombia,,miplazacolombia@gmail.com,3166274366,,,,,,,,,,,,,,,,,"Administrative Services, Commerce and Shopping, Food and Beverage, Internet Services, Transportation",2.0,"Jose Polo, Sergio Daza",1-10,1.0,Seed,2018-02-01,7000.0,USD,7000.0,Seed,7000.0,USD,7000.0,Seed,7000.0,USD,7000.0,7000.0,USD,7000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"132,182",52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCICO PET CARE,https://www.crunchbase.com/organization/ocico-pet-care,"E-Commerce, Pet","Bogotá, Distrito Especial, Colombia",Ocico.co one of the biggest ecommerce of pet products in Colombia,"127,987",Latin America,,Active,2015-05-04,day,,,,,For Profit,https://www.ocico.co,,https://www.facebook.com/ocicopets/,,info@ocico.co,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Community and Lifestyle",,,1-10,1.0,Seed,2015-05-05,100000.0,USD,100000.0,Seed,100000.0,USD,100000.0,Seed,100000.0,USD,100000.0,100000.0,USD,100000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"134,404",43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIIGO,https://www.crunchbase.com/organization/siigo,"Payments, Software","Bogotá, Distrito Especial, Colombia",Siigo is a provider of Accounting and Administrative Software for small and medium-sized companies in Colombia.,"128,723",Latin America,$10M to $50M,Active,1988-01-01,year,,,,,For Profit,http://www.siigo.com/,https://www.twitter.com/siigo_sa,https://www.facebook.com/softwaresiigo,https://www.linkedin.com/company/siigo/,comercial@siigo.com,(571) 633 7150,,,"Siigo is the leading accounting and administrative software solution in Colombia.  They serve over 100,000 clients and more than 15,000 accountants.  Their solutions include accounting, payroll, invoicing, inventory management and as well manages the finance, accounting and administrative aspects of small and mi-sized businesses.",,,,,,,,,,,,,,"Financial Services, Payments, Software",2.0,"Alvaro Sanchez Prieto, Ricardo Ortiz",501-1000,1.0,Private Equity,2017-09-27,,,,Private Equity,,,,Private Equity,,,,,,,Accel-KKR,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"135,207",77.0,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOPHOS SOLUTIONS SAS,https://www.crunchbase.com/organization/sophos-banking-solutions-sas,"Consulting, Financial Services, Information Technology, Professional Services, Software","Bogotá, Distrito Especial, Colombia",Sophos Solutions SAS provides technology solutions and consultancy for the banking and financial sector in Latin America.,"129,176",Latin America,,Active,2006-01-01,year,2020-11-21,day,,,For Profit,https://sophossolutions.com/,https://twitter.com/sophossolutions,https://web.facebook.com/sophossolutionssas/,https://www.linkedin.com/company/834013,soportesmo@sophossolutions.com,(571)7433001,2,,Sophos Banking Solutions SAS provides technology solutions and consultancy for the banking and financial sector in Latin America.,,,,,,,,,,,,,,"Financial Services, Information Technology, Other, Professional Services, Software",4.0,"Amitt Agarwal, Atul Malhotra, Kaushal Sheth, Mohanraj Subramaniam",1001-5000,,M&A,,,,,,,,,,,,,,,,,,,,Was Acquired,Sophos Solutions SAS acquired by Advent International,https://www.crunchbase.com/acquisition/advent-international-acquires-sophos-banking-solutions-sas--5286491d,Advent International,https://www.crunchbase.com/organization/advent-international,2020-11-21,day,,,,Leveraged Buyout,,Private,,,,,,,,,,,,,,,"135,710",22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OM3GA SOLUTION,https://www.crunchbase.com/organization/om3ga-solution,"Advertising, Marketing, Web Design","Montenegro, Quindio, Colombia","Om3ga solution provides services in design, digital marketing and advertising.","129,492",Latin America,,Active,2016-01-01,year,,,,,For Profit,https://om3ga.org/,https://twitter.com/om3gasolutions,https://www.facebook.com/om3gasolutions/,https://www.linkedin.com/company/om3ga-solutions/about/,prodaja@om3ga.org,+382 68 558 488,,,"Om3ga solution provides services in design, digital marketing and advertising.",,,,,,,,,,,,,,"Advertising, Design, Sales and Marketing",,,1-10,1.0,Seed,2018-12-19,30000.0,EUR,34159.0,Pre-Seed,30000.0,EUR,34159.0,Pre-Seed,30000.0,EUR,34159.0,30000.0,EUR,34159.0,ICT Hub Venture,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"136,050",33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FÚTBOL FIT CLUB,https://www.crunchbase.com/organization/fútbol-fit-club,"Health Care, Sports, Wearables","Bogotá, Distrito Especial, Colombia",Football FitClub® is a fitness training firm that gives fitness training to improve like a professional football player.,"131,440",Latin America,Less than $1M,Active,2015-05-05,day,,,,,For Profit,https://www.futbolfitclub.com/,https://twitter.com/futbolfitclub,https://www.facebook.com/FutbolFitClub,,reservas@futbolfitclub.com,310 696 4628,2,,Fútbol FitClub:registered: - Mejora tu estado físico entrenando como un jugador de fútbol profesional.,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Health Care, Sports",1.0,Ricardo Jiménez,1-10,1.0,Seed,2015-09-20,70000.0,USD,70000.0,Seed,70000.0,USD,70000.0,Seed,70000.0,USD,70000.0,70000.0,USD,70000.0,Esteban Mancuso,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"138,153",24.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIVEXCEL,https://www.crunchbase.com/organization/giferent,"E-Commerce, News, Social Media","Bogotá, Distrito Especial, Colombia",Tienda Online de Diseño para Decoración y Regalos,"131,577",Latin America,Less than $1M,Active,2012-01-01,year,,,,,For Profit,https://www.dekosas.com,http://twitter.com/dekosas,https://www.facebook.com/DekosasLatam,,info@dekosas.com,+52 13157825,,,"Giferent es una tienda online de regalos y diseño en Colombia, donde puedes vivir una verdadera experiencia de regalar o regalarte a ti mism@ y encontrar miles de productos originales entre moda, tecnología, belleza, hogar y regalos curiosos. Hemos seleccionado lo mejor de las mejores marcas y lo hemos organizado para que puedas escoger fácilmente un regalo de acuerdo a la ocasión, precio o personalidad del festejado. No es lo mismo regalarle a una deportista que a una fanática de la moda. En Giferent puedes crear fácilmente tus listas de deseos y evitarles a tus familiares y amigos la vergüenza de que te regalen algo que no te gusta. La vaca virtual: Crowdgifting A veces el regalo que deseas es algo muy, muy caro, y recibirlo de parte de una sola persona puede ser difícil por el precio. Con la “vaca virtual” de Giferent, se hace mucho más fácil y asequible recibir ese regalo pues varias personas pueden hacer contribuciones para comprar entre todos el artículo o tu lista completa de deseos.",,,,,,,,,,,,,,"Commerce and Shopping, Content and Publishing, Internet Services, Media and Entertainment",1.0,Luis Francisco Hernández,11-50,1.0,Seed,2012-07-15,80000.0,USD,80000.0,Angel,80000.0,USD,80000.0,Angel,80000.0,USD,80000.0,80000.0,USD,80000.0,Conexcel SA,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"138,304",63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
