Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
Algramo,https://www.crunchbase.com/organization/algramo,"Logistics, Retail Technology, Supply Chain Management","Santiago, Region Metropolitana, Chile",Algramo aims to establish a wholesale relationship with manufacturers of consumer products such as detergents.,"18,423",Latin America,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://www.algramo.com/,http://twitter.com/algramo_cl,http://www.facebook.com/Algramo,http://www.linkedin.com/company/algramo,contacto@algramo.cl,+56 232026370,4,,"Business model focused as distribution channel of basic need products in bulk. Revolving around retail sale through dispenser machines in returnable packaging, reducing prices, responding to the problem of lack of liquidity in low-income families that cannot buy higher volume formats, combating poverty tax, further reducing the environmental packaging impact. Algramo aims to establish a wholesale relationship with manufacturers of consumer products such as detergents, rice and oil, among others, in order to buy the products in bulk, not packaged-saving packaging costs significantly without lowering the quality of the product . Thus, bulk suppliers distribute products in stores in large quantities, also reducing logistics costs.",,,,,,,,,,,,,,"Commerce and Shopping, Hardware, Software, Transportation",1,Jose Manuel Moller,51-100,3,Seed,2019-09-01,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,2370000,USD,2370000,2370000,USD,2370000,"Start-Up Chile, Chivas Venture, Closed Loop Ventures, Sky Ocean Ventures",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"19,183",22,,,15,,,,,,,,
Houm,https://www.crunchbase.com/organization/arriendoasegurado-com,"Property Insurance, Real Estate, Software","Santiago, Region Metropolitana, Chile","Houm is a marketplace that helps landlords in Latam find tenants, collect rent, and manage their properties.","18,743",Latin America,,Active,2018-09-01,day,,,,,For Profit,https://www.houm.com/,,,https://www.linkedin.com/company/houm-com/about/,hola@houm.com,+56229405061,2,,"Houm is reinventing the way of leasing properties in Latam by leveraging technology, data, and design to transform a currently painful and bureaucratic process into a pleasant, quick, and simple experience, both for the owner as for the tenant.",,,,,,,,,,,,,,"Financial Services, Real Estate, Software",2,"Benjamin Labra, Nicolas Knockaert",101-250,3,Seed,2020-09-21,500000,USD,500000,Seed,500000,USD,500000,Seed,2200000,USD,2200000,2200000,USD,2200000,"Magma Partners, Alaya Capital Partners, Fen Ventures, Endurance Investments",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"19,515",49,,,,,,,,,,,
SimpliRoute,https://www.crunchbase.com/organization/simpliroute,"Information Services, Information Technology, Logistics","Santiago, Region Metropolitana, Chile","SimpliRoute is an information technology company that specializes in the optimization, logistics, innovation, and big data.","21,733",Latin America,$10M to $50M,Active,2015-10-25,day,,,,,For Profit,http://www.simpliroute.com,https://twitter.com/simpliroute,https://www.facebook.com/simpliroute,https://www.linkedin.com/company/simplirouteoficial/,simpliroute@simplit-solutions.com,,6,,"SimpliRoute is an information technology company that specializes in the optimization, logistics, innovation, and big data. The company is dedicated to process optimization by means of designing innovative technological solutions for highly complex problems. SimpliRoute was founded in 2015 and headquartered in Santiago, Region Metropolitana.",,,,,,,,,,,,,,"Information Technology, Transportation",2,"Alvaro Echeverría, Eyal Shats",51-100,5,Early Stage Venture,2020-11-02,,,,Series A,,,,Series A,3000000,USD,3000000,3225000,USD,3225000,"Wayra, 500 Startups, Right Side Capital Management, Plug and Play, TheVentureCity Fund",1,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"22,609",79,2,,24,,,,,,,,
Jooycar LLC,https://www.crunchbase.com/organization/jooycar,"Automotive, Information and Communications Technology (ICT), InsurTech, Internet, Internet of Things, Location Based Services","Santiago, Region Metropolitana, Chile",Jooycar is the fastest growing car Insuretech company in Latam and recently open operation in the US the new product Fleetr,"21,820",Latin America,Less than $1M,Active,2014-09-01,day,,,,,For Profit,http://www.jooycar.com,,,https://www.linkedin.com/company/3862189/,mgillet@jooycar.cl,+56950037075,15,,"Jooycar is the fastest growing car telematics company and Insurecth in Latam and recently open operation in the US. We are the first company in Chile to have more than 30K connected cars and more than 100MM km processed, we are the first LatAm telematics company to have connected vehicles in Chile, Peru, Brazil Mexico and the US. The first telematics company to successfully operate a personal lines (first pay-per-mile program in Latinamerica) and commercial lines at the same time. Fleetr Commercial Lines (US) www.fleetr.com",,,,,,,,,,,,,,"Data and Analytics, Financial Services, Information Technology, Internet Services, Navigation and Mapping, Transportation",2,"Emilio Figueroa, María Paz Gillet",11-50,3,,2020-06-08,700000,USD,700000,Venture - Series Unknown,700000,USD,700000,Venture - Series Unknown,3850000,USD,3850000,3850000,USD,3850000,"Magma Partners, HCS Capital Partners",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"22,697",23,18,309,15,,,,,,,,
Poliglota,https://www.crunchbase.com/organization/poliglota,"Education, Language Learning, Social Network","Santiago, Region Metropolitana, Chile","Poliglota is a Language education Startup with a social methodology, gathering teachers and students in coffee places across the world.","23,619",Latin America,$1M to $10M,Active,2011-09-01,day,,,,,For Profit,http://www.poliglota.org,http://twitter.com/poligloton,http://www.facebook.com/Poliglota,http://www.linkedin.com/company/poliglota,carlos@poliglota.org,+56990794425,4,,"Poliglota was founded in 2012 and aims at changing the way people learn languages. It gathers people in small social groups in coffee places instead of classrooms, led by expert teachers, and using a social methodology. It is based on a program of innovative and social activities, focusing on social skills that create faster and more effective learning progress. Poliglota won the Avonni award for Innovation, was selected by the IDB as one of the disruptive educational innovations in Latin America and is selling over USD $2 M in language plans, while they keep expanding their model.",,,,,,,,,,,,,,"Education, Internet Services",3,"Carlos Aravena, José Sánchez, Nicolás Fuenzalida",51-100,4,Seed,2014-09-01,150000000,CLP,254072,Seed,150000000,CLP,254072,Seed,150000000,CLP,254072,205000000,CLP,370098,"Wayra, Mountain Nazca",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"24,555",48,,,26,,,,,,,,
Odd Industries,https://www.crunchbase.com/organization/odd-industries,"Artificial Intelligence, Computer Vision, Construction, Industrial, Machine Learning, SaaS, Software","Santiago, Region Metropolitana, Chile","Odd builds Odd Vision, a computer vision platform that transforms offline processes into online data without friction.","23,782",Latin America,,Active,2018-03-06,day,2020-12-20,day,,,For Profit,https://odd.co,http://twitter.com/oddindustries,,https://www.linkedin.com/company/oddindustries/,hello@odd.co,,12,,"Odd builds Odd Vision, a computer vision platform that leverages cloud and edge deep learning models trained on tens of millions of industrial images, to generate frictionless structured data with a focus on security, privacy and avoiding bias.  Some of the world's largest industries are also the least digitized, with productivity, safety and sustainability issues. Odd focuses on helping these industries become safer, smarter, more sustainable and productive.  Construction companies use Odd Vision to reduce delays and execute within budget, Factories use Odd Vision to understand human-to-machine interaction and optimize output, Cities use Odd Vision to understand foot and vehicle traffic and design better environments, Energy and Utility companies use Odd Vision to control their use of natural resources, Logistics companies and Ports use Odd Vision to optimize their physical space — and all of the above use Odd Vision to ensure the safety and well-being of workers in high-risk environments. Odd Industries was featured in 2019 by the Google AI team as one of the global leaders using machine learning to improve efficiency and sustainability. Our goal is to help improve our world with better information.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Hardware, Manufacturing, Real Estate, Science and Engineering, Software",1,Leo Prieto,11-50,4,M&A,2020-12-20,4000000,USD,4000000,Seed,4000000,USD,4000000,Seed,6000000,USD,6000000,6150000,USD,6150000,"Google for Startups, Google Launchpad Accelerator",2,2,,Was Acquired,Odd Industries acquired by ARAUCO,https://www.crunchbase.com/acquisition/arauco-acquires-odd-industries--e009b663,ARAUCO,https://www.crunchbase.com/organization/arauco,2020-12-20,day,,,,Acquisition,Cash & Stock,Private,,,,,,,,,,,,,,,"24,722",53,,,,0,0,,Advertising; business,,,,
Ipsum,https://www.crunchbase.com/organization/ipsum,"B2B, Construction, Project Management, SaaS, Software","Santiago, Region Metropolitana, Chile",Ipsum provides a collaborative platform for planning and managing construction projects based on Lean Construction & BIM methodologies.,"24,090",Latin America,$1M to $10M,Active,2015-01-01,day,,,,,For Profit,http://www.ipsumapp.co,https://twitter.com/ipsumapp,https://www.facebook.com/ipsumapp,https://www.linkedin.com/company/ipsumapp,franco@ipsumapp.co,+19256236014,3,,"IPSUM is a provider of an online productivity management platform for the construction industry called ProPlanner, which is a collaborative and integrated ecosystem for planning and managing engineering and construction projects based on Lean Construction and BIM methodologies. They also developed other features such as Doc Managing, QA/QC Checklist, Meeting Minutes, Subs Evaluation, Lean-BIM 4D and more. Focusing on changing the way construction projects are scheduling and planning their projects with a different approach and step by step easy-to-follow methodology. From Chile, with offices in Santiago and also Lima, Peru, and clients in 7 countries with some of the biggest construction companies in Latam. From buildings, industrial plants, civil works up to mining projects, ProPlanner can be used for any type of project.",,,,,,,,,,,,,,"Administrative Services, Other, Real Estate, Software",1,Franco Giaquinto,11-50,3,Seed,2017-07-01,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,1140000,USD,1140000,1140000,USD,1140000,"Wayra, Cemex Ventures, Manutara Ventures",3,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"25,038",26,12,,18,,,,,,,,
BePretty,https://www.crunchbase.com/organization/bepretty,"Beauty, Search Engine","Santiago, Region Metropolitana, Chile",Complete Saas beauty salon management tool that enables LATAMs largest beauty marketplace.,"24,802",Latin America,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://www.bepretty.lat,http://twitter.com/bepretty_chile,https://www.facebook.com/BePretty.software/,https://www.linkedin.com/company/bepretty/,hello@bepretty.cl,+56 51104285,,,"Bepretty is an online guide that enables women to search, discover, and book beauty appointments. It also allows professionals to expand their businesses by promoting and managing them online. Bepretty was launched in April 2015 and is based in Santiago, Chile.",,,,,,,,,,,,,,"Consumer Goods, Internet Services",7,"Alvaro Noaín Larrinaga, Daniel Serdio, Gerard Olive, Imma Santisteban, Marc Sorli, Miguel Vicente, Tiago Pais",51-100,6,Seed,2019-07-30,2000000,EUR,2231644,Seed,2000000,EUR,2231644,Seed,6200047,USD,6200047,6240047,USD,6240047,"Start-Up Chile, Antai Venture Builder, Cabiedes & Partners, Henkel Ventures, ChileGlobal Angels",2,5,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"25,774",74,13,"1,838",,,,,,,,,
ComunidadFeliz.com,https://www.crunchbase.com/organization/comunidadfeliz-cl,"Enterprise Resource Planning (ERP), Finance, Information Technology, Software","Santiago, Region Metropolitana, Chile",ComunidadFeliz.com is a finance management software for the administration of buildings and condominiums.,"25,402",Latin America,$1M to $10M,Active,2015-12-01,day,,,,,For Profit,http://www.comunidadfeliz.com/,https://twitter.com/ComunidadFeliz?lang=en,https://www.facebook.com/comunidadfeliz.cl/,https://www.linkedin.com/company-beta/10526757/,contacto@comunidadfeliz.cl,+56968967231,4,,ComunidadFeliz.cl is a finance management software for the administration of buildings and condominiums. It was founded in December 2015.,,,,,,,,,,,,,,"Financial Services, Information Technology, Software",1,Antti Kulppi,11-50,4,Early Stage Venture,2020-07-07,2000000,USD,2000000,Series A,2000000,USD,2000000,Series A,2365000,USD,2365000,2465000,USD,2465000,"Wayra, Clout Capital, View Accelerator, ChileGlobal Angels",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"26,397",41,,,,,,,,,,,
MED360,https://www.crunchbase.com/organization/med360,"Artificial Intelligence, Health Care, Information Technology, Machine Learning, SaaS, Software","Santiago, Region Metropolitana, Chile",MED360 is a SaaS platform that optimizes booking management for healthcare,"25,699",Latin America,,Active,2019-11-27,day,,,,,For Profit,https://www.med360.cl,,,https://www.linkedin.com/company/med-360,ifernandez@option.cl,+562 2 8873700,1,,"Over 20% of the patients that book a medical consultation doesn’t show. They represent 6.4 billion of absences every year, damaging patients, physicians and medical centers but mostly the attention opportunity. This is how MED360 is born, improving the effective occupancy rates of medical centers; is an intelligent system that optimizes the medical scheduling through Machine Learning techniques, applies a Predictive Overbooking Model based on historical patients behavior to predict their attendance. Able to integrate to any medical agenda, Med360 has improved the confirmation process of more than half a million patients.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",3,"Carlos Venegas Aravena, Fernando Oliver Irarrazaval, Raimundo Page",1-10,1,Seed,2020-03-11,60000000,CLP,71276,Pre-Seed,60000000,CLP,71276,Pre-Seed,60000000,CLP,71276,60000000,CLP,71276,UDD Ventures,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"26,711",41,,,,,,,,,,,
